Date,Open,High,Low,Close,Adj Close,Volume
2015-10-29,6.575000,6.591670,6.350000,6.441670,5.253489,28717878
2015-10-30,6.441670,6.566670,6.383330,6.508330,5.307854,23184703
2015-11-02,6.400000,6.541670,6.341670,6.425000,5.239894,22469052
2015-11-03,6.491670,6.550000,6.425000,6.458330,5.267076,14204212
2015-11-04,6.525000,6.683330,6.466670,6.558330,5.348630,37891468
2015-11-05,6.566670,6.658330,6.516670,6.583330,5.369020,21051502
2015-11-06,6.525000,6.608330,6.516670,6.591670,5.375821,14177808
2015-11-09,6.550000,6.683330,6.500000,6.608330,5.389409,29955816
2015-11-10,6.500000,6.583330,6.441670,6.500000,5.301060,27306768
2015-11-11,6.433330,6.508330,6.350000,6.450000,5.260283,30028378
2015-11-12,6.458330,6.533330,6.416670,6.466670,5.273878,27770604
2015-11-13,6.375000,6.466670,6.316670,6.400000,5.219505,29493986
2015-11-16,6.291670,6.391670,6.250000,6.275000,5.117562,27845276
2015-11-17,6.375000,6.416670,6.316670,6.325000,5.158339,22279790
2015-11-18,6.375000,6.450000,6.316670,6.341670,5.171935,22135845
2015-11-19,6.450000,6.491670,6.358330,6.466670,5.273878,14342175
2015-11-20,6.483330,6.625000,6.425000,6.583330,5.369020,25539816
2015-11-23,6.625000,6.625000,6.483330,6.550000,5.341837,25446279
2015-11-24,6.516670,6.575000,6.450000,6.533330,5.328242,21248716
2015-11-25,6.625000,6.625000,6.458330,6.508330,5.307854,22883277
2015-11-26,6.575000,6.583330,6.425000,6.466670,5.273878,24972086
2015-11-27,6.491670,6.491670,6.191670,6.216670,5.069991,57666267
2015-11-30,6.283330,6.283330,6.166670,6.191670,5.049603,49621092
2015-12-01,6.216670,6.316670,6.183330,6.241670,5.090380,28978690
2015-12-02,6.316670,6.375000,6.191670,6.341670,5.171935,23625336
2015-12-03,6.291670,6.358330,6.250000,6.316670,5.151546,22005189
2015-12-04,6.275000,6.291670,6.183330,6.183330,5.042801,23669988
2015-12-07,6.225000,6.241670,6.175000,6.208330,5.063190,11272746
2015-12-08,6.283330,6.283330,6.091670,6.175000,5.036007,27534859
2015-12-09,6.208330,6.208330,6.116670,6.141670,5.008825,19212336
2015-12-10,6.183330,6.183330,6.050000,6.075000,4.954452,25204612
2015-12-11,6.116670,6.116670,5.916670,5.991670,4.886493,27705177
2015-12-14,5.833330,6.016670,5.833330,6.000000,4.893286,33140588
2015-12-15,6.025000,6.033330,5.916670,5.975000,4.872897,19129951
2015-12-16,6.016670,6.141670,6.016670,6.058330,4.940857,18760706
2015-12-17,6.108330,6.250000,6.100000,6.175000,5.036007,19438224
2015-12-18,6.150000,6.308330,6.141670,6.266670,5.110768,35765470
2015-12-21,6.241670,6.500000,6.183330,6.425000,5.239894,44416836
2015-12-22,6.466670,6.475000,6.400000,6.416670,5.233100,16149016
